"newmoonnumber","period","censusdate","month","day","year","treatment","plot","stake","species","sex","hfl","wgt","tag","ltag","heske_trtmnt","granivore","omnivore","small_granivore","grasshopper","dipo","type","energy"
65,62,1982-09-18,9,18,1982,"control",12,67,"DM","F",34,43,"4988","0","control",1,0,FALSE,FALSE,TRUE,"dipo",95.5462415403459
65,62,1982-09-18,9,18,1982,"control",11,67,"OT","M",21,29,"2612","0","control",0,1,FALSE,TRUE,FALSE,"grasshopper",71.1067394489141
65,62,1982-09-18,9,18,1982,"control",8,67,"DO","M",37,51,"3644","0","control",1,0,FALSE,FALSE,TRUE,"dipo",108.590016337657
65,62,1982-09-18,9,18,1982,"control",14,71,"DM","F",36,44,"3561","0","control",1,0,FALSE,FALSE,TRUE,"dipo",97.2079476020466
65,62,1982-09-18,9,18,1982,"control",13,71,"DS","F",NA,126,"3591","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",213.988372268528
65,62,1982-09-18,9,18,1982,"control",12,72,"DM","M",35,36,"3163","0","control",1,0,FALSE,FALSE,TRUE,"dipo",83.6255798186177
65,62,1982-09-18,9,18,1982,"control",13,72,"DM","M",36,42,"3226","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",93.8748452722046
65,62,1982-09-18,9,18,1982,"control",13,74,"DM","F",37,42,"3223","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",93.8748452722046
65,62,1982-09-18,9,18,1982,"control",6,75,"PF","M",16,6,"8510","0","exclosure_1988",1,0,TRUE,FALSE,FALSE,"small_granivore",21.8135175789677
65,62,1982-09-18,9,18,1982,"control",14,75,"DM","F",36,47,"2739","0","control",1,0,FALSE,FALSE,TRUE,"dipo",102.137602618615
65,62,1982-09-18,9,18,1982,"control",14,76,"OL","M",19,15,"3521","0","control",0,1,FALSE,TRUE,FALSE,"grasshopper",43.3691300549964
65,62,1982-09-18,9,18,1982,"control",12,77,"DM","M",37,40,"3233","0","control",1,0,FALSE,FALSE,TRUE,"dipo",90.5018089336904
65,62,1982-09-18,9,18,1982,"control",13,77,"DM","M",36,48,"3059","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",103.763161232581
65,62,1982-09-18,9,19,1982,"exclosure",19,11,"PM","M",21,21,"3433","0","exclosure_1977",1,0,TRUE,FALSE,FALSE,"small_granivore",55.8183169587426
65,62,1982-09-18,9,19,1982,"control",18,21,"DM","M",36,45,"2473","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",98.8602380143538
65,62,1982-09-18,9,19,1982,"control",20,26,"OT","F",22,25,"3677","0","exclosure_1988",0,1,FALSE,TRUE,FALSE,"grasshopper",63.616133959869
65,62,1982-09-18,9,19,1982,"exclosure",15,31,"OT","M",20,29,"4928","0","exclosure_1977",0,1,FALSE,TRUE,FALSE,"grasshopper",71.1067394489141
65,62,1982-09-18,9,19,1982,"control",18,31,"PP","F",21,11,"8011","0","exclosure_1988",1,0,TRUE,FALSE,FALSE,"small_granivore",34.3681994673169
65,62,1982-09-18,9,19,1982,"control",20,36,"DO","F",35,46,"3325","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",100.503373641219
