"period","censusdate","era","plot_type","total_e","dipo_e","smgran_e","pb_e","pp_e","nplots"
292,2002-10-05,"b_pre_cpt","CE",669.459709745737,160.460196104516,508.999513641221,382.767473019313,126.232040621908,3
292,2002-10-05,"b_pre_cpt","EE",738.93253850724,66.4545372185242,672.478001288716,536.552194450602,91.6338524120657,3
293,2002-11-09,"b_pre_cpt","CC",794.778194872334,482.21243802281,312.565756849525,216.530898544208,89.9131052723047,4
293,2002-11-09,"b_pre_cpt","CE",648.019618250452,226.77309181069,421.246526439762,379.335428791944,41.9110976478176,3
293,2002-11-09,"b_pre_cpt","EE",690.630939443219,31.2916150907349,659.339324352484,598.748372998939,60.5909513535452,3
294,2002-12-07,"b_pre_cpt","CC",727.040085821283,482.71201694511,244.328068876173,182.563257064078,56.3114324173532,4
294,2002-12-07,"b_pre_cpt","CE",799.947404675521,256.565444170967,543.381960504554,487.961917930805,13.7273604814094,3
294,2002-12-07,"b_pre_cpt","EE",780.976739356932,33.501124547073,747.475614809859,716.552852462728,12.9851964963704,3
295,2002-12-29,"b_pre_cpt","CC",663.937186181068,447.865684051375,216.071502129693,192.260485315127,23.811016814566,4
295,2002-12-29,"b_pre_cpt","CE",545.362806147746,57.4366248816452,487.926181266101,448.985018464169,26.7125569777798,3
295,2002-12-29,"b_pre_cpt","EE",435.255888851347,0,435.255888851347,358.433094995809,29.6297100183321,3
296,2003-02-01,"b_pre_cpt","CC",1186.48443153343,817.126878818654,369.357552714781,274.042638380411,62.5754958031811,4
296,2003-02-01,"b_pre_cpt","CE",790.412739814388,285.787804175941,504.624935638447,404.266923119483,31.7583330151283,3
296,2003-02-01,"b_pre_cpt","EE",819.77266652417,38.3056669887733,781.466999535396,732.052772643268,0,3
297,2003-03-06,"b_pre_cpt","CC",1293.35052183092,845.241026201952,448.109495628968,319.220634940895,101.902509331272,4
297,2003-03-06,"b_pre_cpt","CE",988.297800466879,381.683264855441,606.614535611438,466.345543634453,0,3
297,2003-03-06,"b_pre_cpt","EE",873.534015928381,77.6513558611924,795.882660067189,677.823096908411,15.8791665075641,3
298,2003-03-29,"b_pre_cpt","CC",1020.84336800959,659.247724666623,361.59564334297,152.738972153528,179.062173976941,4
298,2003-03-29,"b_pre_cpt","CE",934.270986327767,278.145911846736,656.125074481032,484.80099820761,104.357965742921,3
298,2003-03-29,"b_pre_cpt","EE",701.969563164463,118.772320156908,583.197243007554,465.938644990453,76.4716425528361,3
299,2003-05-03,"b_pre_cpt","CC",960.924593563842,557.430017409887,403.494576153955,222.589918637814,167.451483128071,4
299,2003-05-03,"b_pre_cpt","CE",957.477793017024,311.998997107491,645.478795909533,355.102135327344,238.033892253609,3
299,2003-05-03,"b_pre_cpt","EE",989.746876646976,131.12110707742,858.625769569556,613.409183744228,136.604353084023,3
300,2003-05-28,"b_pre_cpt","CC",1010.3787159773,616.757431088376,393.62128488892,199.057231883777,163.668121760998,4
300,2003-05-28,"b_pre_cpt","CE",813.161606005384,246.995133048059,566.166472957324,384.854237474504,146.190867132217,3
300,2003-05-28,"b_pre_cpt","EE",756.277948454941,56.161377844061,700.11657061088,609.19182502432,75.0455790789961,3
301,2003-06-28,"b_pre_cpt","CC",1041.67410501062,551.132289759515,490.541815251107,239.357027058284,231.472740046781,4
301,2003-06-28,"b_pre_cpt","CE",768.349032331955,190.287713316684,578.061319015271,388.734543811532,180.304657224585,3
301,2003-06-28,"b_pre_cpt","EE",981.064783339866,90.2733932703233,890.791390069543,590.398536422298,279.187475660622,3
302,2003-07-28,"b_pre_cpt","CC",827.072386785907,412.55633559073,414.516051195177,173.195748357503,216.944843355193,4
302,2003-07-28,"b_pre_cpt","CE",694.955830342857,117.78538819866,577.170442144198,400.832901248401,149.624983918017,3
302,2003-07-28,"b_pre_cpt","EE",816.700301494475,25.5184032148994,791.181898279576,556.508699422155,224.007458389644,3
303,2003-08-23,"b_pre_cpt","CC",885.005651914154,488.337634233607,396.668017680547,206.224138058244,183.677291137937,4
303,2003-08-23,"b_pre_cpt","CE",684.146606816723,132.325377147204,551.821229669519,387.625656532276,147.620884051155,3
