"newmoonnumber","period","censusdate","month","day","year","treatment","plot","stake","species","sex","hfl","wgt","tag","ltag","small_granivore","dipo","type","energy"
4,4,1977-10-16,10,17,1977,"control",17,51,"DS","M",49,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
4,4,1977-10-16,10,17,1977,"control",11,52,"DS",NA,NA,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
4,4,1977-10-16,10,17,1977,"orig_exclosure",19,52,"RM","M",18,13,"0","0",TRUE,FALSE,"small_granivore",38.9555894891111
4,4,1977-10-16,10,17,1977,"control",11,53,"DM","F",36,42,"0","0",FALSE,TRUE,"dipo",93.8748452722046
4,4,1977-10-16,10,17,1977,"orig_exclosure",19,53,"DM","M",35,31,"0","0",FALSE,TRUE,"dipo",74.7538451814357
4,4,1977-10-16,10,17,1977,"control",14,55,"NA",NA,NA,162.5347738,"0","0",FALSE,FALSE,"other",259.013252088968
4,4,1977-10-16,10,17,1977,"orig_exclosure",3,62,"DM","M",36,39,"0","0",FALSE,TRUE,"dipo",88.7995411482622
4,4,1977-10-16,10,17,1977,"orig_exclosure",15,62,"DM","M",37,48,"0","0",FALSE,TRUE,"dipo",103.763161232581
4,4,1977-10-16,10,17,1977,"control",17,65,"DO","F",32,48,"0","0",FALSE,TRUE,"dipo",103.763161232581
4,4,1977-10-16,10,17,1977,"control",17,66,"DM","M",33,29,"0","0",FALSE,TRUE,"dipo",71.1067394489141
4,4,1977-10-16,10,17,1977,"control",14,72,"DM","M",36,45,"0","0",FALSE,TRUE,"dipo",98.8602380143538
4,4,1977-10-16,10,17,1977,"control",17,72,"DM","F",35,39,"0","0",FALSE,TRUE,"dipo",88.7995411482622
4,4,1977-10-16,10,17,1977,"control",17,74,"OL","F",NA,23,"0","0",FALSE,FALSE,"other",59.7596635079572
4,4,1977-10-16,10,17,1977,"control",4,75,"DS","F",47,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
4,4,1977-10-16,10,17,1977,"control",17,76,"DO","F",33,31,"0","0",FALSE,TRUE,"dipo",74.7538451814357
4,4,1977-10-16,10,18,1977,"new_exclosure",8,11,"DS","F",50,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
4,4,1977-10-16,10,18,1977,"new_exclosure",8,36,"DO","F",35,41,"0","0",FALSE,TRUE,"dipo",92.1934694843704
4,4,1977-10-16,10,18,1977,"new_exclosure",8,52,"DS","F",49,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
5,5,1977-11-12,11,12,1977,"new_exclosure",22,11,"DM","F",34,45,"4899","0",FALSE,TRUE,"dipo",98.8602380143538
5,5,1977-11-12,11,12,1977,"new_exclosure",2,13,"DM","F",37,36,"4825","0",FALSE,TRUE,"dipo",83.6255798186177
5,5,1977-11-12,11,12,1977,"new_exclosure",2,16,"NA",NA,NA,162.5347738,"0","0",FALSE,FALSE,"other",259.013252088968
5,5,1977-11-12,11,12,1977,"new_exclosure",2,17,"DM","M",37,47,"4826","0",FALSE,TRUE,"dipo",102.137602618615
5,5,1977-11-12,11,12,1977,"new_exclosure",22,17,"OL",NA,NA,31.12671977,"0","0",FALSE,FALSE,"other",74.9829086817215
5,5,1977-11-12,11,12,1977,"new_exclosure",2,34,"DM","M",38,44,"4827","0",FALSE,TRUE,"dipo",97.2079476020466
5,5,1977-11-12,11,12,1977,"new_exclosure",2,37,"OT",NA,NA,24.05599577,"0","0",FALSE,FALSE,"other",61.8058765978623
5,5,1977-11-12,11,12,1977,"new_exclosure",2,47,"DM","F",36,40,"4828","0",FALSE,TRUE,"dipo",90.5018089336904
5,5,1977-11-12,11,12,1977,"new_exclosure",2,54,"NA",NA,NA,162.5347738,"0","0",FALSE,FALSE,"other",259.013252088968
5,5,1977-11-12,11,12,1977,"new_exclosure",2,56,"OL",NA,NA,31.12671977,"0","0",FALSE,FALSE,"other",74.9829086817215
5,5,1977-11-12,11,12,1977,"new_exclosure",22,62,"DM","F",36,35,"0","0",FALSE,TRUE,"dipo",81.8772598057385
5,5,1977-11-12,11,13,1977,"control",14,12,"DM","M",36,44,"4878","0",FALSE,TRUE,"dipo",97.2079476020466
5,5,1977-11-12,11,13,1977,"control",17,15,"DM","F",33,38,"4881","0",FALSE,TRUE,"dipo",87.0863249865208
5,5,1977-11-12,11,13,1977,"control",17,16,"DS","F",48,118,"4880","0",FALSE,TRUE,"dipo",203.715358184933
5,5,1977-11-12,11,13,1977,"control",17,21,"DM","M",37,40,"4872","0",FALSE,TRUE,"dipo",90.5018089336904
5,5,1977-11-12,11,13,1977,"control",11,22,"DS","F",52,126,"4884","0",FALSE,TRUE,"dipo",213.988372268528
5,5,1977-11-12,11,13,1977,"control",11,31,"DM","M",36,37,"4883","0",FALSE,TRUE,"dipo",85.3617990345562
5,5,1977-11-12,11,13,1977,"control",17,32,"DS","M",50,132,"4873","0",FALSE,TRUE,"dipo",221.586202550956
5,5,1977-11-12,11,13,1977,"orig_exclosure",21,35,"OL",NA,NA,31.12671977,"0","0",FALSE,FALSE,"other",74.9829086817215
5,5,1977-11-12,11,13,1977,"orig_exclosure",21,42,"OL",NA,NA,31.12671977,"0","0",FALSE,FALSE,"other",74.9829086817215
5,5,1977-11-12,11,13,1977,"control",11,45,"DM","F",36,39,"4882","0",FALSE,TRUE,"dipo",88.7995411482622
5,5,1977-11-12,11,13,1977,"control",14,46,"DS","F",NA,113,"0","0",FALSE,TRUE,"dipo",197.206442630021
5,5,1977-11-12,11,13,1977,"control",11,47,"NA",NA,NA,162.5347738,"0","0",FALSE,FALSE,"other",259.013252088968
5,5,1977-11-12,11,13,1977,"control",11,52,"PF","M",15,7,"0","0",TRUE,FALSE,"small_granivore",24.4870121320489
5,5,1977-11-12,11,13,1977,"control",11,54,"DS","F",53,122,"4845","0",FALSE,TRUE,"dipo",208.872920612232
5,5,1977-11-12,11,13,1977,"control",14,54,"NA",NA,NA,162.5347738,"0","0",FALSE,FALSE,"other",259.013252088968
5,5,1977-11-12,11,13,1977,"control",4,57,"DS","F",48,107,"4889","0",FALSE,TRUE,"dipo",189.299775825279
