"newmoonnumber","period","censusdate","month","day","year","treatment","plot","stake","species","sex","hfl","wgt","tag","ltag","brown_trtmnt","granivore","omnivore","small_granivore","small_omnivore","dipo","offset_year","type","energy"
5,5,1977-11-12,11,NA,1977,"exclosure",19,NA,NA,NA,NA,NA,NA,NA,"dipo_absent",NA,NA,FALSE,FALSE,FALSE,1977,"other",NA
6,6,1977-12-10,12,11,1977,"control",12,12,"DS","F",NA,114,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",198.513892371031
6,6,1977-12-10,12,11,1977,"control",14,12,"DM","M",36,41,"4878","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",92.1934694843704
6,6,1977-12-10,12,11,1977,"control",8,22,"DO","F",32,41,"4870","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",92.1934694843704
6,6,1977-12-10,12,11,1977,"control",11,22,"DM","M",35,37,"4883","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",85.3617990345562
6,6,1977-12-10,12,11,1977,"control",12,22,"NA",NA,NA,162.5347738,"0","0","dipo_present",0,1,FALSE,FALSE,FALSE,1977,"other",259.013252088968
6,6,1977-12-10,12,11,1977,"control",11,24,"DS","F",49,127,"4884","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",215.260853108505
6,6,1977-12-10,12,11,1977,"exclosure",21,25,"OT",NA,NA,24.05599577,"0","0","dipo_absent",0,1,FALSE,TRUE,FALSE,1977,"small_omnivore",61.8058765978623
6,6,1977-12-10,12,11,1977,"control",8,26,"PF","F",15,6,"0","0","dipo_present",1,0,TRUE,FALSE,FALSE,1977,"small_granivore",21.8135175789677
6,6,1977-12-10,12,11,1977,"control",11,27,"NA",NA,NA,162.5347738,"0","0","dipo_present",0,1,FALSE,FALSE,FALSE,1977,"other",259.013252088968
6,6,1977-12-10,12,11,1977,"control",8,32,"DS","F",NA,120,"4847","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",206.29951213152
6,6,1977-12-10,12,11,1977,"exclosure",3,34,"OT",NA,NA,24.05599577,"0","0","dipo_absent",0,1,FALSE,TRUE,FALSE,1977,"small_omnivore",61.8058765978623
6,6,1977-12-10,12,11,1977,"control",14,34,"DM","F",36,40,"4426","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",90.5018089336904
6,6,1977-12-10,12,11,1977,"control",14,35,"DS","F",47,114,"4540","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",198.513892371031
6,6,1977-12-10,12,11,1977,"control",8,42,"DS","M",49,149,"4543","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",242.66210896082
6,6,1977-12-10,12,11,1977,"control",11,43,"DM","F",37,38,"4882","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",87.0863249865208
6,6,1977-12-10,12,11,1977,"control",11,45,"DS","M",52,127,"4544","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",215.260853108505
